H&A vs every team (14 games),,,,,,,Week Conference Play Begins:,,6,,,,,,,,,
CCHA,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,,,Week,Home,Away
,,,,16,13B,@ Team8,@ Team7,@ Team6,@ Team5,Team4,Team3,Team2,Team1,,4,7B,Team8,Team6
,,,,17,14A,Team2,@ Team1,@ Team7,@ Team6,@ Team8,Team4,Team3,Team5,,5,8A,Team5,Team1
,,,,18,14B,@ Team2,Team1,Team7,Team6,Team8,@ Team4,@ Team3,@ Team5,,5,8A,Team4,Team2
,,,,19,15A,@ Team3,Team8,Team1,Team7,Team6,@ Team5,@ Team4,@ Team2,,5,8A,Team3,Team8
,,,,20,15B,Team3,@ Team8,@ Team1,@ Team7,@ Team6,Team5,Team4,Team2,,5,8A,Team6,Team7
,,,,21,16A,Team4,Team3,@ Team2,@ Team1,@ Team7,@ Team8,Team5,Team6,,6,8B,Team1,Team6
,,,,22,16B,@ Team4,@ Team3,Team2,Team1,Team7,Team8,@ Team5,@ Team6,,6,8B,Team2,Team5
,,,,23,17A,Team5,Team4,@ Team8,@ Team2,@ Team1,@ Team7,Team6,Team3,,6,8B,Team3,Team4
,,,,24,17B,@ Team5,@ Team4,Team8,Team2,Team1,Team7,@ Team6,@ Team3,,6,8B,Team8,Team7
,,,,,Total,24,24,24,24,24,24,24,24,,7,9A,Team7,Team1
,,,,,,,,,,,,,,,7,9A,Team6,Team2
,,,,,,,,,,,,,,,7,9A,Team5,Team3
,,,,,,,,,,,,,,,7,9A,Team4,Team8
,,,,,,,,,,,,,,,8,9B,Team8,Team1
,,,,,,,,,,,,,,,8,9B,Team7,Team2
,,,,,,,,,,,,,,,8,9B,Team6,Team3
,,,,,,,,,,,,,,,8,9B,Team5,Team4
,,,,,,,,,,,,,,,9,10A,Team2,Team1
,,,,,,,,,,,,,,,9,10A,Team3,Team7
,,,,,,,,,,,,,,,9,10A,Team4,Team6
,,,,,,,,,,,,,,,9,10A,Team5,Team8
,,,,,,,,,,,,,,,10,10B,Team1,Team3
,,,,,,,,,,,,,,,10,10B,Team8,Team2
,,,,,,,,,,,,,,,10,10B,Team7,Team4
,,,,,,,,,,,,,,,10,10B,Team6,Team5
,,,,,,,,,,,,,,,11,11A,Team4,Team1
,,,,,,,,,,,,,,,11,11A,Team3,Team2
,,,,,,,,,,,,,,,11,11A,Team5,Team7
,,,,,,,,,,,,,,,11,11A,Team6,Team8
,,,,,,,,,,,,,,,12,11B,Team1,Team5
,,,,,,,,,,,,,,,12,11B,Team2,Team4
,,,,,,,,,,,,,,,12,11B,Team8,Team3
,,,,,,,,,,,,,,,12,11B,Team7,Team6
,,,,,,,,,,,,,,,13,12A,Team6,Team1
,,,,,,,,,,,,,,,13,12A,Team5,Team2
,,,,,,,,,,,,,,,13,12A,Team4,Team3
,,,,,,,,,,,,,,,13,12A,Team7,Team8
,,,,,,,,,,,,,,,14,12B,Team1,Team7
,,,,,,,,,,,,,,,14,12B,Team2,Team6
,,,,,,,,,,,,,,,14,12B,Team3,Team5
,,,,,,,,,,,,,,,14,12B,Team8,Team4
,,,,,,,,,,,,,,,15,13A,Team1,Team8
,,,,,,,,,,,,,,,15,13A,Team2,Team7
,,,,,,,,,,,,,,,15,13A,Team3,Team6
,,,,,,,,,,,,,,,15,13A,Team4,Team5
,,,,,,,,,,,,,,,16,13B,Team8,Team1
,,,,,,,,,,,,,,,16,13B,Team7,Team2
,,,,,,,,,,,,,,,16,13B,Team6,Team3
,,,,,,,,,,,,,,,16,13B,Team5,Team4
,,,,,,,,,,,,,,,17,14A,Team1,Team2
,,,,,,,,,,,,,,,17,14A,Team7,Team3
,,,,,,,,,,,,,,,17,14A,Team6,Team4
,,,,,,,,,,,,,,,17,14A,Team8,Team5
,,,,,,,,,,,,,,,18,14B,Team2,Team1
,,,,,,,,,,,,,,,18,14B,Team3,Team7
,,,,,,,,,,,,,,,18,14B,Team4,Team6
,,,,,,,,,,,,,,,18,14B,Team5,Team8
,,,,,,,,,,,,,,,19,15A,Team3,Team1
,,,,,,,,,,,,,,,19,15A,Team2,Team8
,,,,,,,,,,,,,,,19,15A,Team4,Team7
,,,,,,,,,,,,,,,19,15A,Team5,Team6
,,,,,,,,,,,,,,,20,15B,Team1,Team3
,,,,,,,,,,,,,,,20,15B,Team8,Team2
,,,,,,,,,,,,,,,20,15B,Team7,Team4
,,,,,,,,,,,,,,,20,15B,Team6,Team5
,,,,,,,,,,,,,,,21,16A,Team1,Team4
,,,,,,,,,,,,,,,21,16A,Team2,Team3
,,,,,,,,,,,,,,,21,16A,Team7,Team5
,,,,,,,,,,,,,,,21,16A,Team8,Team6
,,,,,,,,,,,,,,,22,16B,Team4,Team1
,,,,,,,,,,,,,,,22,16B,Team3,Team2
,,,,,,,,,,,,,,,22,16B,Team5,Team7
,,,,,,,,,,,,,,,22,16B,Team6,Team8
,,,,,,,,,,,,,,,23,17A,Team1,Team5
,,,,,,,,,,,,,,,23,17A,Team2,Team4
,,,,,,,,,,,,,,,23,17A,Team8,Team3
,,,,,,,,,,,,,,,23,17A,Team7,Team6
,,,,,,,,,,,,,,,24,17B,Team5,Team1
,,,,,,,,,,,,,,,24,17B,Team4,Team2
,,,,,,,,,,,,,,,24,17B,Team3,Team8
,,,,,,,,,,,,,,,24,17B,Team6,Team7
