H&A vs every team (16 games),,,,,,,Week Conference Play Begins:,,4,,,,,,,,,,
Big Ten,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,,,Week,Home,Away
,,,,15,11A,@ Team6,OPEN,Team9,Team8,Team7,Team1,@ Team5,@ Team4,@ Team3,,4,5B,Team2,Team5
,,,,16,11B,Team5,@ Team8,@ Team7,@ Team6,@ Team1,Team4,Team3,Team2,OPEN,,4,5B,Team3,Team4
,,,,17,12A,@ Team4,Team6,Team5,Team1,@ Team3,@ Team2,OPEN,@ Team9,Team8,,5,6A,Team7,Team1
,,,,18,12B,Team3,@ Team4,@ Team1,Team2,OPEN,Team9,Team8,@ Team7,@ Team6,,5,6A,Team6,Team8
,,,,19,13A,@ Team2,Team1,OPEN,@ Team9,@ Team8,@ Team7,Team6,Team5,Team4,,5,6A,Team5,Team9
,,,,20,13B,OPEN,Team9,Team8,Team7,Team6,@ Team5,@ Team4,@ Team3,@ Team2,,5,6A,Team3,Team2
,,,,21,14A,@ Team9,@ Team7,@ Team6,@ Team5,Team4,Team3,Team2,OPEN,Team1,,6,6B,Team1,Team6
,,,,22,14B,Team8,Team5,Team4,@ Team3,@ Team2,OPEN,@ Team9,@ Team1,Team7,,6,6B,Team7,Team5
,,,,23,15A,@ Team7,@ Team3,Team2,OPEN,Team9,Team8,Team1,@ Team6,@ Team5,,6,6B,Team8,Team4
,,,,24,15B,Team6,OPEN,@ Team9,@ Team8,@ Team7,@ Team1,Team5,Team4,Team3,,6,6B,Team9,Team3
,,,,25,16A,@ Team5,Team8,Team7,Team6,Team1,@ Team4,@ Team3,@ Team2,OPEN,,7,7A,Team5,Team1
,,,,26,16B,Team4,@ Team6,@ Team5,@ Team1,Team3,Team2,OPEN,Team9,@ Team8,,7,7A,Team4,Team6
,,,,27,17A,@ Team3,Team4,Team1,@ Team2,OPEN,@ Team9,@ Team8,Team7,Team6,,7,7A,Team3,Team7
,,,,28,17B,Team2,@ Team1,OPEN,Team9,Team8,Team7,@ Team6,@ Team5,@ Team4,,7,7A,Team2,Team8
,,,,,Total,24,24,24,24,24,24,24,24,24,,8,7B,Team1,Team4
,,,,,,,,,,,,,,,,8,7B,Team5,Team3
,,,,,,,,,,,,,,,,8,7B,Team6,Team2
,,,,,,,,,,,,,,,,8,7B,Team8,Team9
,,,,,,,,,,,,,,,,9,8A,Team3,Team1
,,,,,,,,,,,,,,,,9,8A,Team2,Team4
,,,,,,,,,,,,,,,,9,8A,Team9,Team6
,,,,,,,,,,,,,,,,9,8A,Team8,Team7
,,,,,,,,,,,,,,,,10,8B,Team1,Team2
,,,,,,,,,,,,,,,,10,8B,Team4,Team9
,,,,,,,,,,,,,,,,10,8B,Team5,Team8
,,,,,,,,,,,,,,,,10,8B,Team6,Team7
,,,,,,,,,,,,,,,,11,9A,Team9,Team2
,,,,,,,,,,,,,,,,11,9A,Team8,Team3
,,,,,,,,,,,,,,,,11,9A,Team7,Team4
,,,,,,,,,,,,,,,,11,9A,Team6,Team5
,,,,,,,,,,,,,,,,12,9B,Team1,Team9
,,,,,,,,,,,,,,,,12,9B,Team2,Team7
,,,,,,,,,,,,,,,,12,9B,Team3,Team6
,,,,,,,,,,,,,,,,12,9B,Team4,Team5
,,,,,,,,,,,,,,,,13,10A,Team8,Team1
,,,,,,,,,,,,,,,,13,10A,Team7,Team9
,,,,,,,,,,,,,,,,13,10A,Team5,Team2
,,,,,,,,,,,,,,,,13,10A,Team4,Team3
,,,,,,,,,,,,,,,,14,10B,Team1,Team7
,,,,,,,,,,,,,,,,14,10B,Team8,Team6
,,,,,,,,,,,,,,,,14,10B,Team9,Team5
,,,,,,,,,,,,,,,,14,10B,Team2,Team3
,,,,,,,,,,,,,,,,15,11A,Team6,Team1
,,,,,,,,,,,,,,,,15,11A,Team5,Team7
,,,,,,,,,,,,,,,,15,11A,Team4,Team8
,,,,,,,,,,,,,,,,15,11A,Team3,Team9
,,,,,,,,,,,,,,,,16,11B,Team1,Team5
,,,,,,,,,,,,,,,,16,11B,Team6,Team4
,,,,,,,,,,,,,,,,16,11B,Team7,Team3
,,,,,,,,,,,,,,,,16,11B,Team8,Team2
,,,,,,,,,,,,,,,,17,12A,Team4,Team1
,,,,,,,,,,,,,,,,17,12A,Team3,Team5
,,,,,,,,,,,,,,,,17,12A,Team2,Team6
,,,,,,,,,,,,,,,,17,12A,Team9,Team8
,,,,,,,,,,,,,,,,18,12B,Team1,Team3
,,,,,,,,,,,,,,,,18,12B,Team4,Team2
,,,,,,,,,,,,,,,,18,12B,Team6,Team9
,,,,,,,,,,,,,,,,18,12B,Team7,Team8
,,,,,,,,,,,,,,,,19,13A,Team2,Team1
,,,,,,,,,,,,,,,,19,13A,Team9,Team4
,,,,,,,,,,,,,,,,19,13A,Team8,Team5
,,,,,,,,,,,,,,,,19,13A,Team7,Team6
,,,,,,,,,,,,,,,,20,13B,Team2,Team9
,,,,,,,,,,,,,,,,20,13B,Team3,Team8
,,,,,,,,,,,,,,,,20,13B,Team4,Team7
,,,,,,,,,,,,,,,,20,13B,Team5,Team6
,,,,,,,,,,,,,,,,21,14A,Team9,Team1
,,,,,,,,,,,,,,,,21,14A,Team7,Team2
,,,,,,,,,,,,,,,,21,14A,Team6,Team3
,,,,,,,,,,,,,,,,21,14A,Team5,Team4
,,,,,,,,,,,,,,,,22,14B,Team1,Team8
,,,,,,,,,,,,,,,,22,14B,Team2,Team5
,,,,,,,,,,,,,,,,22,14B,Team3,Team4
,,,,,,,,,,,,,,,,22,14B,Team9,Team7
,,,,,,,,,,,,,,,,23,15A,Team7,Team1
,,,,,,,,,,,,,,,,23,15A,Team3,Team2
,,,,,,,,,,,,,,,,23,15A,Team5,Team9
,,,,,,,,,,,,,,,,23,15A,Team6,Team8
,,,,,,,,,,,,,,,,24,15B,Team1,Team6
,,,,,,,,,,,,,,,,24,15B,Team9,Team3
,,,,,,,,,,,,,,,,24,15B,Team8,Team4
,,,,,,,,,,,,,,,,24,15B,Team7,Team5
,,,,,,,,,,,,,,,,25,16A,Team5,Team1
,,,,,,,,,,,,,,,,25,16A,Team2,Team8
,,,,,,,,,,,,,,,,25,16A,Team3,Team7
,,,,,,,,,,,,,,,,25,16A,Team4,Team6
,,,,,,,,,,,,,,,,26,16B,Team1,Team4
,,,,,,,,,,,,,,,,26,16B,Team6,Team2
,,,,,,,,,,,,,,,,26,16B,Team5,Team3
,,,,,,,,,,,,,,,,26,16B,Team8,Team9
,,,,,,,,,,,,,,,,27,17A,Team3,Team1
,,,,,,,,,,,,,,,,27,17A,Team2,Team4
,,,,,,,,,,,,,,,,27,17A,Team9,Team6
,,,,,,,,,,,,,,,,27,17A,Team8,Team7
,,,,,,,,,,,,,,,,28,17B,Team1,Team2
,,,,,,,,,,,,,,,,28,17B,Team4,Team9
,,,,,,,,,,,,,,,,28,17B,Team5,Team8
,,,,,,,,,,,,,,,,28,17B,Team6,Team7
