 (22 games),,,,,,,Week Conference Play Begins:,,5,,,,,,,,,,,,
Hockey East,,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,,,Week,Home,Away
,,,,25,17B,@ Team2,Team1,OPEN,Team9,OPEN,OPEN,OPEN,OPEN,@ Team4,OPEN,OPEN,,5,7B,Team6,Team10
,,,,,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,,6,8A,Team1,Team6
,,,,,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,,6,8A,Team2,Team7
,,,,,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,,6,8A,Team3,Team9
,,,,,Total,22,22,22,22,22,22,22,22,22,22,22,,6,8A,Team10,Team4
,,,,,,,,,,,,,,,,,,6,8A,Team11,Team5
,,,,,,,,,,,,,,,,,,7,8B,Team9,Team1
,,,,,,,,,,,,,,,,,,7,8B,Team4,Team2
,,,,,,,,,,,,,,,,,,7,8B,Team10,Team5
,,,,,,,,,,,,,,,,,,7,8B,Team8,Team6
,,,,,,,,,,,,,,,,,,7,8B,Team7,Team11
,,,,,,,,,,,,,,,,,,8,9A,Team4,Team1
,,,,,,,,,,,,,,,,,,8,9A,Team2,Team10
,,,,,,,,,,,,,,,,,,8,9A,Team11,Team3
,,,,,,,,,,,,,,,,,,8,9A,Team6,Team5
,,,,,,,,,,,,,,,,,,8,9A,Team8,Team9
,,,,,,,,,,,,,,,,,,9,9B,Team1,Team11
,,,,,,,,,,,,,,,,,,9,9B,Team6,Team2
,,,,,,,,,,,,,,,,,,9,9B,Team3,Team7
,,,,,,,,,,,,,,,,,,9,9B,Team9,Team4
,,,,,,,,,,,,,,,,,,9,9B,Team10,Team8
,,,,,,,,,,,,,,,,,,10,10A,Team2,Team1
,,,,,,,,,,,,,,,,,,10,10A,Team4,Team3
,,,,,,,,,,,,,,,,,,10,10A,Team5,Team8
,,,,,,,,,,,,,,,,,,10,10A,Team7,Team10
,,,,,,,,,,,,,,,,,,10,10A,Team9,Team11
,,,,,,,,,,,,,,,,,,11,10B,Team1,Team7
,,,,,,,,,,,,,,,,,,11,10B,Team3,Team2
,,,,,,,,,,,,,,,,,,11,10B,Team8,Team4
,,,,,,,,,,,,,,,,,,11,10B,Team9,Team5
,,,,,,,,,,,,,,,,,,11,10B,Team11,Team6
,,,,,,,,,,,,,,,,,,12,11A,Team1,Team4
,,,,,,,,,,,,,,,,,,12,11A,Team10,Team2
,,,,,,,,,,,,,,,,,,12,11A,Team3,Team8
,,,,,,,,,,,,,,,,,,12,11A,Team5,Team7
,,,,,,,,,,,,,,,,,,12,11A,Team6,Team9
,,,,,,,,,,,,,,,,,,13,11B,Team8,Team1
,,,,,,,,,,,,,,,,,,13,11B,Team7,Team3
,,,,,,,,,,,,,,,,,,13,11B,Team4,Team9
,,,,,,,,,,,,,,,,,,13,11B,Team5,Team6
,,,,,,,,,,,,,,,,,,13,11B,Team11,Team10
,,,,,,,,,,,,,,,,,,14,12A,Team1,Team9
,,,,,,,,,,,,,,,,,,14,12A,Team2,Team4
,,,,,,,,,,,,,,,,,,14,12A,Team3,Team10
,,,,,,,,,,,,,,,,,,14,12A,Team7,Team6
,,,,,,,,,,,,,,,,,,14,12B,Team8,Team11
,,,,,,,,,,,,,,,,,,15,12B,Team2,Team8
,,,,,,,,,,,,,,,,,,15,12B,Team6,Team3
,,,,,,,,,,,,,,,,,,15,12B,Team5,Team11
,,,,,,,,,,,,,,,,,,15,12B,Team10,Team7
,,,,,,,,,,,,,,,,,,16,13A,Team6,Team1
,,,,,,,,,,,,,,,,,,16,13A,Team11,Team2
,,,,,,,,,,,,,,,,,,16,13A,Team9,Team3
,,,,,,,,,,,,,,,,,,16,13A,Team4,Team7
,,,,,,,,,,,,,,,,,,16,13A,Team8,Team5
,,,,,,,,,,,,,,,,,,17,13B,Team1,Team2
,,,,,,,,,,,,,,,,,,17,13B,Team3,Team5
,,,,,,,,,,,,,,,,,,17,13B,Team4,Team10
,,,,,,,,,,,,,,,,,,17,13B,Team7,Team8
,,,,,,,,,,,,,,,,,,17,13B,Team11,Team9
,,,,,,,,,,,,,,,,,,18,14A,Team10,Team1
,,,,,,,,,,,,,,,,,,18,14A,Team2,Team6
,,,,,,,,,,,,,,,,,,18,14A,Team3,Team11
,,,,,,,,,,,,,,,,,,18,14A,Team5,Team4
,,,,,,,,,,,,,,,,,,18,14A,Team9,Team8
,,,,,,,,,,,,,,,,,,19,14B,Team11,Team1
,,,,,,,,,,,,,,,,,,19,14B,Team2,Team5
,,,,,,,,,,,,,,,,,,19,14B,Team6,Team4
,,,,,,,,,,,,,,,,,,19,14B,Team9,Team7
,,,,,,,,,,,,,,,,,,19,14B,Team8,Team10
,,,,,,,,,,,,,,,,,,20,15A,Team1,Team3
,,,,,,,,,,,,,,,,,,20,15A,Team7,Team2
,,,,,,,,,,,,,,,,,,20,15A,Team4,Team11
,,,,,,,,,,,,,,,,,,20,15A,Team5,Team9
,,,,,,,,,,,,,,,,,,20,15A,Team10,Team6
,,,,,,,,,,,,,,,,,,21,15B,Team1,Team10
,,,,,,,,,,,,,,,,,,21,15B,Team5,Team2
,,,,,,,,,,,,,,,,,,21,15B,Team3,Team6
,,,,,,,,,,,,,,,,,,21,15B,Team7,Team4
,,,,,,,,,,,,,,,,,,21,15B,Team11,Team8
,,,,,,,,,,,,,,,,,,22,16A,Team8,Team2
,,,,,,,,,,,,,,,,,,22,16A,Team10,Team3
,,,,,,,,,,,,,,,,,,22,16A,Team4,Team5
,,,,,,,,,,,,,,,,,,22,16A,Team6,Team11
,,,,,,,,,,,,,,,,,,22,16A,Team7,Team9
,,,,,,,,,,,,,,,,,,23,16B,Team5,Team1
,,,,,,,,,,,,,,,,,,23,16B,Team2,Team3
,,,,,,,,,,,,,,,,,,23,16B,Team9,Team6
,,,,,,,,,,,,,,,,,,23,16B,Team8,Team7
,,,,,,,,,,,,,,,,,,23,16B,Team10,Team11
,,,,,,,,,,,,,,,,,,24,17A,Team1,Team8
,,,,,,,,,,,,,,,,,,24,17A,Team5,Team3
,,,,,,,,,,,,,,,,,,24,17A,Team11,Team4
,,,,,,,,,,,,,,,,,,24,17A,Team6,Team7
,,,,,,,,,,,,,,,,,,24,17A,Team9,Team10
,,,,,,,,,,,,,,,,,,25,17B,Team2,Team1
,,,,,,,,,,,,,,,,,,25,17B,Team4,Team9
,,,,,,,,,,,,,,,,,,,17B,,
,,,,,,,,,,,,,,,,,,,17B,,
,,,,,,,,,,,,,,,,,,,17B,,
,,,,,,,,,,,,,,,,,,,17B,,
