H&A vs every team (24 games),,,,,,,Week Conference Play Begins:,,6,,,,,,,,,,,
"AHA, NCHC",,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,,,Week,Home,Away
,,,,,,,,,,,,,,,,,14,12B,Team6,Team1
,,,,,,,,,,,,,,,,,14,12B,Team2,Team10
,,,,,,,,,,,,,,,,,14,12B,Team3,Team9
,,,,,,,,,,,,,,,,,14,12B,Team4,Team8
,,,,,,,,,,,,,,,,,14,12B,Team5,Team7
,,,,,,,,,,,,,,,,,15,13A,Team1,Team5
,,,,,,,,,,,,,,,,,15,13A,Team8,Team2
,,,,,,,,,,,,,,,,,15,13A,Team7,Team3
,,,,,,,,,,,,,,,,,15,13A,Team6,Team4
,,,,,,,,,,,,,,,,,15,13A,Team9,Team10
,,,,,,,,,,,,,,,,,16,13B,Team4,Team1
,,,,,,,,,,,,,,,,,16,13B,Team2,Team6
,,,,,,,,,,,,,,,,,16,13B,Team3,Team5
,,,,,,,,,,,,,,,,,16,13B,Team10,Team7
,,,,,,,,,,,,,,,,,16,13B,Team9,Team8
,,,,,,,,,,,,,,,,,17,14A,Team1,Team3
,,,,,,,,,,,,,,,,,17,14A,Team4,Team2
,,,,,,,,,,,,,,,,,17,14A,Team5,Team10
,,,,,,,,,,,,,,,,,17,14A,Team6,Team9
,,,,,,,,,,,,,,,,,17,14A,Team7,Team8
,,,,,,,,,,,,,,,,,18,14B,Team2,Team1
,,,,,,,,,,,,,,,,,18,14B,Team10,Team3
,,,,,,,,,,,,,,,,,18,14B,Team9,Team4
,,,,,,,,,,,,,,,,,18,14B,Team8,Team5
,,,,,,,,,,,,,,,,,18,14B,Team7,Team6
,,,,,,,,,,,,,,,,,19,15A,Team1,Team10
,,,,,,,,,,,,,,,,,19,15A,Team2,Team9
,,,,,,,,,,,,,,,,,19,15A,Team3,Team8
,,,,,,,,,,,,,,,,,19,15A,Team4,Team7
,,,,,,,,,,,,,,,,,19,15A,Team5,Team6
,,,,,,,,,,,,,,,,,20,15B,Team9,Team1
,,,,,,,,,,,,,,,,,20,15B,Team7,Team2
,,,,,,,,,,,,,,,,,20,15B,Team6,Team3
,,,,,,,,,,,,,,,,,20,15B,Team5,Team4
,,,,,,,,,,,,,,,,,20,15B,Team8,Team10
,,,,,,,,,,,,,,,,,21,16A,Team1,Team8
,,,,,,,,,,,,,,,,,21,16A,Team2,Team5
,,,,,,,,,,,,,,,,,21,16A,Team3,Team4
,,,,,,,,,,,,,,,,,21,16A,Team10,Team6
,,,,,,,,,,,,,,,,,21,16A,Team9,Team7
,,,,,,,,,,,,,,,,,22,16B,Team7,Team1
,,,,,,,,,,,,,,,,,22,16B,Team3,Team2
,,,,,,,,,,,,,,,,,22,16B,Team4,Team10
,,,,,,,,,,,,,,,,,22,16B,Team5,Team9
,,,,,,,,,,,,,,,,,22,16B,Team6,Team8
,,,,,,,,,,,,,,,,,23,17A,Team1,Team6
,,,,,,,,,,,,,,,,,23,17A,Team10,Team2
,,,,,,,,,,,,,,,,,23,17A,Team9,Team3
,,,,,,,,,,,,,,,,,23,17A,Team8,Team4
,,,,,,,,,,,,,,,,,23,17A,Team7,Team5
,,,,,,,,,,,,,,,,,24,17B,Team5,Team1
,,,,,,,,,,,,,,,,,24,17B,Team2,Team8
,,,,,,,,,,,,,,,,,24,17B,Team3,Team7
,,,,,,,,,,,,,,,,,24,17B,Team4,Team6
,,,,,,,,,,,,,,,,,24,17B,Team10,Team9
