1 game against every team + 3 protected rivals (H&A),,,,,,,Week Conference Play Begins:,,7,,,,,,,,,,,,,,
ECAC,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,,,,Week,Home,Away
12,Team12,Team12,,12,12B,@ Team12,@ Team11,@ Team10,@ Team9,@ Team8,@ Team7,Team6,Team5,Team4,Team3,Team2,Team1,,,2,7B,Team10,Team12
,Random Sort Below Then,,,13,13A,Team11,Team9,Team8,Team7,Team6,@ Team5,@ Team4,@ Team3,@ Team2,@ Team12,@ Team1,Team10,,,3,8A,Team1,Team10
,Paste Above ^,,,14,13B,@ Team10,@ Team7,@ Team6,@ Team5,Team4,Team3,Team2,Team12,Team11,Team1,@ Team9,@ Team8,,,3,8A,Team2,Team7
,Clarkson,CLRK,,15,14A,Team9,Team5,Team4,@ Team3,@ Team2,@ Team12,@ Team11,@ Team10,@ Team1,Team8,Team7,Team6,,,3,8A,Team3,Team6
,St. Lawrence,STL,,16,14B,@ Team8,@ Team3,Team2,Team12,Team11,Team10,Team9,Team1,@ Team7,@ Team6,@ Team5,@ Team4,,,3,8A,Team4,Team5
,Brown,BRWN,,17,15A,Team7,@ Team12,@ Team11,@ Team10,@ Team9,@ Team8,@ Team1,Team6,Team5,Team4,Team3,Team2,,,3,8A,Team12,Team8
,Quinnipiac,QUIN,,18,15B,@ Team6,Team10,Team9,Team8,Team7,Team1,@ Team5,@ Team4,@ Team3,@ Team2,@ Team12,Team11,,,3,8A,Team11,Team9
,Harvard,HARV,,19,16A,Team5,@ Team8,@ Team7,@ Team6,@ Team1,Team4,Team3,Team2,Team12,Team11,@ Team10,@ Team9,,,4,8B,Team9,Team1
,Cornell,COR,,20,16B,@ Team4,Team6,Team5,Team1,@ Team3,@ Team2,@ Team12,@ Team11,@ Team10,Team9,Team8,Team7,,,4,8B,Team5,Team2
,Princeton,PRIN,,21,17A,Team3,@ Team4,@ Team1,Team2,Team12,Team11,Team10,Team9,@ Team8,@ Team7,@ Team6,@ Team5,,,4,8B,Team4,Team3
,Dartmouth,DART,,22,17B,@ Team2,Team1,@ Team12,@ Team11,@ Team10,@ Team9,@ Team8,Team7,Team6,Team5,Team4,Team3,,,4,8B,Team6,Team12
,RPI,RPI,,,,,,,,,,,,,,,,,,4,8B,Team7,Team11
,Union,UNION,,,,,,,,,,,,,,,,,,4,8B,Team8,Team10
,Yale,YALE,,,,,,,,,,,,,,,,,,5,9A,Team1,Team8
,Colgate,COLG,,,,,,,,,,,,,,,,,,5,9A,Team2,Team3
,,,,,,,,,,,,,,,,,,,,5,9A,Team12,Team4
,,,,,Total,22,22,22,22,22,22,22,22,22,22,22,22,,,5,9A,Team11,Team5
,,,,,,,,,,,,,,,,,,,,5,9A,Team10,Team6
,,,,,,,,,,,,,,,,,,,,5,9A,Team9,Team7
,,,,,,,,,,,,,,,,,,,,6,9B,Team7,Team1
,,,,,,,,,,,,,,,,,,,,6,9B,Team2,Team12
,,,,,,,,,,,,,,,,,,,,6,9B,Team3,Team11
,,,,,,,,,,,,,,,,,,,,6,9B,Team4,Team10
,,,,,,,,,,,,,,,,,,,,6,9B,Team5,Team9
,,,,,,,,,,,,,,,,,,,,6,9B,Team6,Team8
,,,,,,,,,,,,,,,,,,,,7,10A,Team1,Team6
,,,,,,,,,,,,,,,,,,,,7,10A,Team10,Team2
,,,,,,,,,,,,,,,,,,,,7,10A,Team9,Team3
,,,,,,,,,,,,,,,,,,,,7,10A,Team8,Team4
,,,,,,,,,,,,,,,,,,,,7,10A,Team7,Team5
,,,,,,,,,,,,,,,,,,,,7,10A,Team11,Team12
,,,,,,,,,,,,,,,,,,,,8,10B,Team5,Team1
,,,,,,,,,,,,,,,,,,,,8,10B,Team2,Team8
,,,,,,,,,,,,,,,,,,,,8,10B,Team3,Team7
,,,,,,,,,,,,,,,,,,,,8,10B,Team4,Team6
,,,,,,,,,,,,,,,,,,,,8,10B,Team12,Team9
,,,,,,,,,,,,,,,,,,,,8,10B,Team11,Team10
,,,,,,,,,,,,,,,,,,,,9,11A,Team1,Team4
,,,,,,,,,,,,,,,,,,,,9,11A,Team6,Team2
,,,,,,,,,,,,,,,,,,,,9,11A,Team5,Team3
,,,,,,,,,,,,,,,,,,,,9,11A,Team7,Team12
,,,,,,,,,,,,,,,,,,,,9,11A,Team8,Team11
,,,,,,,,,,,,,,,,,,,,9,11A,Team9,Team10
,,,,,,,,,,,,,,,,,,,,10,11B,Team3,Team1
,,,,,,,,,,,,,,,,,,,,10,11B,Team2,Team4
,,,,,,,,,,,,,,,,,,,,10,11B,Team12,Team5
,,,,,,,,,,,,,,,,,,,,10,11B,Team11,Team6
,,,,,,,,,,,,,,,,,,,,10,11B,Team10,Team7
,,,,,,,,,,,,,,,,,,,,10,11B,Team9,Team8
,,,,,,,,,,,,,,,,,,,,11,12A,Team1,Team2
,,,,,,,,,,,,,,,,,,,,11,12A,Team3,Team12
,,,,,,,,,,,,,,,,,,,,11,12A,Team4,Team11
,,,,,,,,,,,,,,,,,,,,11,12A,Team5,Team10
,,,,,,,,,,,,,,,,,,,,11,12A,Team6,Team9
,,,,,,,,,,,,,,,,,,,,11,12A,Team7,Team8
,,,,,,,,,,,,,,,,,,,,12,12B,Team12,Team1
,,,,,,,,,,,,,,,,,,,,12,12B,Team11,Team2
,,,,,,,,,,,,,,,,,,,,12,12B,Team10,Team3
,,,,,,,,,,,,,,,,,,,,12,12B,Team9,Team4
,,,,,,,,,,,,,,,,,,,,12,12B,Team8,Team5
,,,,,,,,,,,,,,,,,,,,12,12B,Team7,Team6
,,,,,,,,,,,,,,,,,,,,13,13A,Team1,Team11
,,,,,,,,,,,,,,,,,,,,13,13A,Team2,Team9
,,,,,,,,,,,,,,,,,,,,13,13A,Team3,Team8
,,,,,,,,,,,,,,,,,,,,13,13A,Team4,Team7
,,,,,,,,,,,,,,,,,,,,13,13A,Team5,Team6
,,,,,,,,,,,,,,,,,,,,13,13A,Team12,Team10
,,,,,,,,,,,,,,,,,,,,14,13B,Team10,Team1
,,,,,,,,,,,,,,,,,,,,14,13B,Team7,Team2
,,,,,,,,,,,,,,,,,,,,14,13B,Team6,Team3
,,,,,,,,,,,,,,,,,,,,14,13B,Team5,Team4
,,,,,,,,,,,,,,,,,,,,14,13B,Team8,Team12
,,,,,,,,,,,,,,,,,,,,14,13B,Team9,Team11
,,,,,,,,,,,,,,,,,,,,15,14A,Team1,Team9
,,,,,,,,,,,,,,,,,,,,15,14A,Team2,Team5
,,,,,,,,,,,,,,,,,,,,15,14A,Team3,Team4
,,,,,,,,,,,,,,,,,,,,15,14A,Team6,Team12
,,,,,,,,,,,,,,,,,,,,15,14A,Team11,Team7
,,,,,,,,,,,,,,,,,,,,15,14A,Team10,Team8
,,,,,,,,,,,,,,,,,,,,16,14B,Team8,Team1
,,,,,,,,,,,,,,,,,,,,16,14B,Team3,Team2
,,,,,,,,,,,,,,,,,,,,16,14B,Team4,Team12
,,,,,,,,,,,,,,,,,,,,16,14B,Team5,Team11
,,,,,,,,,,,,,,,,,,,,16,14B,Team10,Team6
,,,,,,,,,,,,,,,,,,,,16,14B,Team7,Team9
,,,,,,,,,,,,,,,,,,,,17,15A,Team1,Team7
,,,,,,,,,,,,,,,,,,,,17,15A,Team12,Team2
,,,,,,,,,,,,,,,,,,,,17,15A,Team11,Team3
,,,,,,,,,,,,,,,,,,,,17,15A,Team10,Team4
,,,,,,,,,,,,,,,,,,,,17,15A,Team9,Team5
,,,,,,,,,,,,,,,,,,,,17,15A,Team6,Team8
,,,,,,,,,,,,,,,,,,,,18,15B,Team6,Team1
,,,,,,,,,,,,,,,,,,,,18,15B,Team2,Team10
,,,,,,,,,,,,,,,,,,,,18,15B,Team3,Team9
,,,,,,,,,,,,,,,,,,,,18,15B,Team4,Team8
,,,,,,,,,,,,,,,,,,,,18,15B,Team5,Team7
,,,,,,,,,,,,,,,,,,,,18,15B,Team12,Team11
,,,,,,,,,,,,,,,,,,,,19,16A,Team1,Team5
,,,,,,,,,,,,,,,,,,,,19,16A,Team8,Team2
,,,,,,,,,,,,,,,,,,,,19,16A,Team7,Team3
,,,,,,,,,,,,,,,,,,,,19,16A,Team6,Team4
,,,,,,,,,,,,,,,,,,,,19,16A,Team9,Team12
,,,,,,,,,,,,,,,,,,,,19,16A,Team10,Team11
,,,,,,,,,,,,,,,,,,,,20,16B,Team4,Team1
,,,,,,,,,,,,,,,,,,,,20,16B,Team2,Team6
,,,,,,,,,,,,,,,,,,,,20,16B,Team3,Team5
,,,,,,,,,,,,,,,,,,,,20,16B,Team12,Team7
,,,,,,,,,,,,,,,,,,,,20,16B,Team11,Team8
,,,,,,,,,,,,,,,,,,,,20,16B,Team10,Team9
,,,,,,,,,,,,,,,,,,,,21,17A,Team1,Team3
,,,,,,,,,,,,,,,,,,,,21,17A,Team4,Team2
,,,,,,,,,,,,,,,,,,,,21,17A,Team5,Team12
,,,,,,,,,,,,,,,,,,,,21,17A,Team6,Team11
,,,,,,,,,,,,,,,,,,,,21,17A,Team7,Team10
,,,,,,,,,,,,,,,,,,,,21,17A,Team8,Team9
,,,,,,,,,,,,,,,,,,,,22,17B,Team2,Team1
,,,,,,,,,,,,,,,,,,,,22,17B,Team12,Team3
,,,,,,,,,,,,,,,,,,,,22,17B,Team11,Team4
,,,,,,,,,,,,,,,,,,,,22,17B,Team10,Team5
,,,,,,,,,,,,,,,,,,,,22,17B,Team9,Team6
,,,,,,,,,,,,,,,,,,,,22,17B,Team8,Team7
